-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.200
-183.800, 80.200, -0.012,  0.400
-183.800, 80.197, 0.024,  0.600
-183.798, 80.175, 0.350,  0.800
-183.793, 80.119, 0.729,  1.000
-183.771, 80.020, 1.138,  1.200
-183.723, 79.895, 1.322,  1.400
-183.645, 79.771, 1.310,  1.600
-183.545, 79.653, 1.374,  1.800
-183.431, 79.528, 1.528,  2.000
-183.308, 79.395, 1.676,  2.200
-183.181, 79.256, 1.752,  2.400
-183.053, 79.118, 1.756,  2.600
-182.928, 78.986, 1.720,  2.800
-182.805, 78.859, 1.679,  3.000
-182.684, 78.737, 1.655,  3.200
-182.564, 78.616, 1.657,  3.400
-182.443, 78.495, 1.678,  3.600
-182.322, 78.373, 1.705,  3.800
-182.201, 78.247, 1.729,  4.000
-182.082, 78.119, 1.741,  4.200
-181.966, 77.988, 1.739,  4.400
-181.855, 77.854, 1.739,  4.600
-181.750, 77.715, 1.743,  4.800
-181.651, 77.572, 1.749,  5.000
-181.558, 77.422, 1.756,  5.200
-181.474, 77.266, 1.763,  5.400
-181.399, 77.104, 1.772,  5.600
-181.333, 76.935, 1.784,  5.800
-181.276, 76.761, 1.802,  6.000
-181.228, 76.580, 1.824,  6.200
-181.189, 76.394, 1.851,  6.400
-181.157, 76.203, 1.880,  6.600
-181.133, 76.008, 1.910,  6.800
-181.115, 75.809, 1.938,  7.000
-181.103, 75.607, 1.964,  7.200
-181.097, 75.403, 1.988,  7.400
-181.096, 75.198, 2.010,  7.600
-181.098, 74.990, 2.031,  7.800
-181.105, 74.782, 2.052,  8.000
-181.114, 74.572, 2.072,  8.200
-181.126, 74.360, 2.092,  8.400
-181.140, 74.148, 2.112,  8.600
-181.155, 73.934, 2.132,  8.800
-181.171, 73.718, 2.152,  9.000
-181.189, 73.501, 2.172,  9.200
-181.206, 73.282, 2.193,  9.400
-181.224, 73.061, 2.213,  9.600
-181.241, 72.839, 2.234,  9.800
-181.258, 72.615, 2.254, 10.000
-181.274, 72.388, 2.275, 10.200
-181.289, 72.160, 2.296, 10.400
-181.302, 71.929, 2.318, 10.600
-181.315, 71.696, 2.340, 10.800
-181.327, 71.461, 2.362, 11.000
-181.337, 71.224, 2.385, 11.200
-181.347, 70.984, 2.406, 11.400
-181.355, 70.742, 2.429, 11.600
-181.362, 70.498, 2.454, 11.800
-181.368, 70.251, 2.479, 12.000
-181.372, 70.002, 2.504, 12.200
-181.377, 69.750, 2.528, 12.400
-181.380, 69.496, 2.553, 12.600
-181.382, 69.239, 2.578, 12.800
-181.384, 68.980, 2.603, 13.000
-181.385, 68.718, 2.629, 13.200
-181.386, 68.454, 2.655, 13.400
-181.387, 68.187, 2.681, 13.600
-181.387, 67.917, 2.707, 13.800
-181.386, 67.645, 2.733, 14.000
-181.386, 67.370, 2.760, 14.200
-181.385, 67.092, 2.788, 14.400
-181.385, 66.812, 2.815, 14.600
-181.384, 66.529, 2.843, 14.800
-181.383, 66.243, 2.871, 15.000
-181.382, 65.954, 2.899, 15.200
-181.381, 65.662, 2.928, 15.400
-181.381, 65.368, 2.957, 15.600
-181.380, 65.070, 2.986, 15.800
-181.380, 64.770, 3.016, 16.000
-181.379, 64.467, 3.046, 16.200
-181.379, 64.160, 3.076, 16.400
-181.379, 63.851, 3.107, 16.600
-181.379, 63.538, 3.138, 16.800
-181.379, 63.223, 3.169, 17.000
-181.379, 62.904, 3.200, 17.200
-181.379, 62.582, 3.232, 17.400
