309.632, 129.492, 3.954,  4.379 False
309.499, 129.492, 3.984,  4.412 False
309.365, 129.491, 4.013,  4.445 False
309.231, 129.491, 4.042,  4.478 False
309.095, 129.491, 4.071,  4.511 False
308.959, 129.491, 4.100,  4.544 False
308.822, 129.491, 4.129,  4.577 False
308.683, 129.491, 4.159,  4.610 False
308.544, 129.491, 4.187,  4.643 False
308.404, 129.491, 4.215,  4.676 False
308.262, 129.491, 4.243,  4.709 False
308.120, 129.491, 4.271,  4.742 False
307.977, 129.490, 4.299,  4.775 False
307.833, 129.490, 4.327,  4.808 False
307.688, 129.490, 4.355,  4.841 False
307.542, 129.490, 4.384,  4.874 False
307.396, 129.490, 4.412,  4.907 False
307.248, 129.490, 4.440,  4.940 False
307.099, 129.489, 4.469,  4.973 False
306.949, 129.489, 4.497,  5.006 False
306.799, 129.489, 4.526,  5.039 False
306.647, 129.489, 4.556,  5.072 False
306.495, 129.489, 4.584,  5.105 False
306.341, 129.489, 4.612,  5.138 False
306.187, 129.489, 4.640,  5.171 False
306.031, 129.489, 4.669,  5.204 False
305.875, 129.489, 4.696,  5.237 False
305.718, 129.489, 4.725,  5.270 False
305.560, 129.488, 4.753,  5.303 False
305.401, 129.488, 4.781,  5.336 False
305.240, 129.488, 4.808,  5.369 False
305.079, 129.488, 4.836,  5.402 False
304.918, 129.488, 4.863,  5.435 False
304.755, 129.488, 4.891,  5.468 False
304.591, 129.488, 4.919,  5.501 False
304.426, 129.488, 4.948,  5.534 False
304.261, 129.488, 4.976,  5.567 False
304.094, 129.488, 5.004,  5.600 False
303.927, 129.488, 5.032,  5.633 False
303.758, 129.488, 5.062,  5.666 False
303.589, 129.488, 5.089,  5.699 False
303.418, 129.488, 5.119,  5.732 False
303.247, 129.488, 5.146,  5.765 False
303.075, 129.488, 5.174,  5.798 False
302.902, 129.488, 5.198,  5.831 False
302.728, 129.488, 5.217,  5.864 False
302.554, 129.489, 5.219,  5.897 False
302.380, 129.489, 5.216,  5.930 False
302.207, 129.489, 5.217,  5.963 False
302.033, 129.489, 5.228,  5.996 False
301.858, 129.489, 5.246,  6.029 False
301.683, 129.489, 5.273,  6.062 False
301.506, 129.489, 5.303,  6.095 False
301.328, 129.489, 5.338,  6.128 False
301.149, 129.490, 5.374,  6.161 False
300.969, 129.490, 5.413,  6.194 False
300.787, 129.490, 5.450,  6.227 False
300.605, 129.490, 5.489,  6.260 False
300.421, 129.490, 5.526,  6.293 False
300.235, 129.490, 5.564,  6.326 False
300.049, 129.490, 5.599,  6.359 False
299.861, 129.490, 5.635,  6.392 False
299.673, 129.490, 5.668,  6.425 False
299.483, 129.490, 5.703,  6.458 False
299.292, 129.490, 5.735,  6.491 False
299.100, 129.491, 5.769,  6.524 False
298.906, 129.491, 5.800,  6.557 False
298.712, 129.491, 5.832,  6.590 False
298.517, 129.491, 5.863,  6.623 False
298.321, 129.491, 5.895,  6.656 False
298.123, 129.491, 5.926,  6.689 False
297.925, 129.491, 5.958,  6.722 False
297.726, 129.491, 5.988,  6.755 False
297.525, 129.491, 6.020,  6.788 False
297.324, 129.491, 6.049,  6.821 False
297.121, 129.491, 6.080,  6.854 False
296.918, 129.491, 6.109,  6.887 False
296.713, 129.491, 6.139,  6.920 False
296.508, 129.491, 6.168,  6.953 False
296.302, 129.491, 6.198,  6.986 False
296.094, 129.492, 6.226,  7.019 False
295.886, 129.492, 6.256,  7.052 False
295.677, 129.492, 6.284,  7.085 False
295.466, 129.492, 6.315,  7.118 False
295.255, 129.492, 6.343,  7.151 False
295.043, 129.492, 6.374,  7.184 False
294.830, 129.492, 6.402,  7.217 False
294.615, 129.492, 6.432,  7.250 False
294.400, 129.492, 6.460,  7.283 False
294.184, 129.492, 6.489,  7.316 False
293.967, 129.492, 6.516,  7.349 False
293.749, 129.492, 6.546,  7.382 False
293.530, 129.492, 6.573,  7.415 False
293.311, 129.497, 6.592,  7.448 False
293.090, 129.506, 6.618,  7.481 False
292.869, 129.516, 6.651,  7.514 False
292.647, 129.527, 6.683,  7.547 False
292.423, 129.541, 6.713,  7.580 False
292.199, 129.555, 6.743,  7.613 False
291.974, 129.572, 6.771,  7.646 False
291.749, 129.591, 6.797,  7.679 False
291.522, 129.611, 6.824,  7.712 False
291.295, 129.632, 6.850,  7.745 False
291.067, 129.656, 6.877,  7.778 False
290.838, 129.681, 6.903,  7.811 False
290.609, 129.707, 6.931,  7.844 False
290.379, 129.735, 6.958,  7.877 False
290.148, 129.761, 6.988,  7.910 False
289.915, 129.787, 7.016,  7.943 False
289.682, 129.814, 7.045,  7.976 False
289.448, 129.841, 7.071,  8.009 False
289.214, 129.869, 7.099,  8.042 False
288.978, 129.897, 7.125,  8.075 False
288.741, 129.925, 7.153,  8.108 False
288.504, 129.955, 7.179,  8.141 False
288.266, 129.985, 7.207,  8.174 False
